activity_id,word
19,Abundance
19,Acceptance
19,Accessibility
19,Accomplishment
19,Accountability
19,Accuracy
19,Achievement
19,Acknowledgement
19,Action
19,Activeness
19,Adaptability
19,Adoration
19,Adroitness
19,Advancement
19,Adventure
19,Affection
19,Affluence
19,Aggressiveness
19,Agility
19,Alertness
19,Aliveness
19,Altruism
19,Ambition
19,Amusement
19,Anticipation
19,Appreciation
19,Approachability
19,Articulacy
19,Assertiveness
19,Assurance
19,Attentiveness
19,Attractiveness
19,Audacity
19,Authority
19,Availability
19,Awareness
19,Awe
19,Balance
19,Beauty
19,Being the best
19,Belief
19,Belonging
19,Benefits to all
19,Benevolence
19,Bliss
19,Boldness
19,Bravery
19,Brilliance
19,Buoyancy
19,Calmness
19,Camaraderie
19,Candor
19,Capability
19,Carefulness
19,Caring
19,Celebrity
19,Certainty
19,Challenge
19,Change
19,Charity
19,Charm
19,Cheerfulness
19,Clarity
19,Class
19,Cleanliness
19,Clear-mindedness
19,Cleverness
19,Closeness
19,Collaboration
19,Comfort
19,Commitment
19,Communication
19,Community
19,Compassion
19,Competence
19,Competition
19,Completion
19,Compliments
19,Composure
19,Compromise
19,Concentration
19,Confidence
19,Conformity
19,Congruency
19,Connection
19,Consciousness
19,Consensus
19,Consistency
19,Contentment
19,Continuity
19,Continuous improvement
19,Contribution
19,Control
19,Conviction
19,Conviviality
19,Coolness
19,Cooperation
19,Coordination
19,Cordiality
19,Correctness
19,Courage
19,Courtesy
19,Craftiness
19,Creativity
19,Credibility
19,Curiosity
19,Daring
19,Decisiveness
19,Decorum
19,Dedication
19,Deference
19,Delight
19,Democracy
19,Dependability
19,Depth
19,Desire
19,Determination
19,Development
19,Devotion
19,Devoutness
19,Dexterity
19,Dignity
19,Diligence
19,Diplomacy
19,Direction
19,Directness
19,Discipline
19,Discovery
19,Discretion
19,Diversity
19,Dominance
19,Dreaming
19,Drive
19,Duty
19,Dynamism
19,Eagerness
19,Ease
19,Ecstasy
19,Effectiveness
19,Efficiency
19,Elation
19,Elegance
19,Empathy
19,Empowerment
19,Encouragement
19,Endurance
19,Energy
19,Enjoyment
19,Enthusiasm
19,Equality
19,Excellence
19,Excitement
19,Exhilaration
19,Expediency
19,Experience
19,Expertise
19,Exploration
19,Expressiveness
19,Extravagance
19,Extroversion
19,Exuberance
19,Factual
19,Fairness
19,Faith
19,Faithfulness
19,Fame
19,Family
19,Fascination
19,Fearlessness
19,Ferocity
19,Fidelity
19,Fierceness
19,Financial independence
19,Firmness
19,Fitness
19,Flair
19,Flexibility
19,Flow
19,Fluency
19,Focus
19,Force
19,Foresight
19,Forgiveness
19,Fortitude
19,Frankness
19,Freedom
19,Friendliness
19,Friendship
19,Frugality
19,Fulfulment
19,Fun
19,Gallantry
19,Generosity
19,Genius
19,Gentility
19,Gentleness
19,Giving
19,Goodwill
19,Grace
19,Grace
19,Gratitude
19,Gregariousness
19,Growth
19,Guidance
19,Happiness
19,Hard Work
19,Harmony
19,Health
19,Helpfulness
19,Heroism
19,Holiness
19,Honesty
19,Honor
19,Hopefulness
19,Hospitality
19,Humility
19,Humor
19,Imagination
19,Impact
19,Impartiality
19,Improvement
19,Inclusiveness
19,Independence
19,Individuality
19,Influence
19,Information
19,Ingenuity
19,Inner harmony
19,Inner peace
19,Innovation
19,Inquisitiveness
19,Insightfulness
19,Inspiration
19,Integration
19,Integrity
19,Intellectual status
19,Intelligence
19,Intensity
19,Intimacy
19,Intrepidness
19,Introversion
